tiempo,diag_group,iafas,tipo_consumo,TOTAL_NETO
2021-04-01,Mama,SIS,MEDICAMENTO,247.97
2021-04-01,Mama,SIS,PROCEDIMIENTO,4196.94
2021-04-01,No oncológico (comparador),FISSAL,INSUMO,168.61
2021-04-01,No oncológico (comparador),FISSAL,MEDICAMENTO,7524.53
2021-04-01,No oncológico (comparador),FISSAL,PROCEDIMIENTO,15065.73
2021-04-01,No oncológico (comparador),SIS,INSUMO,161631.38
2021-04-01,No oncológico (comparador),SIS,MEDICAMENTO,442360.464
2021-04-01,No oncológico (comparador),SIS,PROCEDIMIENTO,426669.58
2021-04-01,Otro,FISSAL,INSUMO,43655.76
2021-04-01,Otro,FISSAL,MEDICAMENTO,24160.73
2021-04-01,Otro,FISSAL,PROCEDIMIENTO,87472.37
2021-04-01,Otro,SIS,INSUMO,1251724.5
2021-04-01,Otro,SIS,MEDICAMENTO,2186692.5858
2021-04-01,Otro,SIS,PROCEDIMIENTO,1742371.8699999999
2021-04-01,Próstata,FISSAL,INSUMO,31858.67
2021-04-01,Próstata,FISSAL,MEDICAMENTO,64611.487199999996
2021-04-01,Próstata,FISSAL,PROCEDIMIENTO,91461.92
2021-04-01,Próstata,SIS,INSUMO,2352.89
2021-04-01,Próstata,SIS,MEDICAMENTO,965.3299999999999
2021-04-01,Próstata,SIS,PROCEDIMIENTO,2923.0299999999997
2021-05-01,Colon,FISSAL,INSUMO,122634.19
2021-05-01,Colon,FISSAL,MEDICAMENTO,81934.05
2021-05-01,Colon,FISSAL,PROCEDIMIENTO,101067.22
2021-05-01,Colon,SIS,INSUMO,1177.89
2021-05-01,Colon,SIS,MEDICAMENTO,548.62
2021-05-01,Colon,SIS,PROCEDIMIENTO,2636.86
2021-05-01,Cuello uterino,FISSAL,INSUMO,190363.335
2021-05-01,Cuello uterino,FISSAL,MEDICAMENTO,130522.88
2021-05-01,Cuello uterino,FISSAL,PROCEDIMIENTO,322212.33
2021-05-01,Cuello uterino,SIS,INSUMO,1116.6299999999999
2021-05-01,Cuello uterino,SIS,MEDICAMENTO,197.28
2021-05-01,Cuello uterino,SIS,PROCEDIMIENTO,3467.94
2021-05-01,Estómago,FISSAL,INSUMO,168525.41
2021-05-01,Estómago,FISSAL,MEDICAMENTO,73037.83
2021-05-01,Estómago,FISSAL,PROCEDIMIENTO,164734.37
2021-05-01,Estómago,SIS,INSUMO,5549.28
2021-05-01,Estómago,SIS,MEDICAMENTO,1383.98
2021-05-01,Estómago,SIS,PROCEDIMIENTO,4914.45
2021-05-01,Leucemias,FISSAL,INSUMO,490904.12
2021-05-01,Leucemias,FISSAL,MEDICAMENTO,466931.1892
2021-05-01,Leucemias,FISSAL,PROCEDIMIENTO,1059630.27
2021-05-01,Leucemias,SIS,INSUMO,286.99
2021-05-01,Leucemias,SIS,MEDICAMENTO,145.73
2021-05-01,Leucemias,SIS,PROCEDIMIENTO,1412.43
2021-05-01,Linfomas,FISSAL,INSUMO,158448.25
2021-05-01,Linfomas,FISSAL,MEDICAMENTO,192339.355
2021-05-01,Linfomas,FISSAL,PROCEDIMIENTO,376279.18
2021-05-01,Linfomas,SIS,INSUMO,627.84
2021-05-01,Linfomas,SIS,MEDICAMENTO,181.62
2021-05-01,Linfomas,SIS,PROCEDIMIENTO,2982.6
2021-05-01,Mama,FISSAL,INSUMO,266349.08
2021-05-01,Mama,FISSAL,MEDICAMENTO,377651.905
2021-05-01,Mama,FISSAL,PROCEDIMIENTO,493494.81
2021-05-01,Mama,SIS,INSUMO,240.56
2021-05-01,Mama,SIS,MEDICAMENTO,232.69
2021-05-01,Mama,SIS,PROCEDIMIENTO,3617.9
2021-05-01,No oncológico (comparador),FISSAL,INSUMO,42.2
2021-05-01,No oncológico (comparador),FISSAL,MEDICAMENTO,15233.74
2021-05-01,No oncológico (comparador),FISSAL,PROCEDIMIENTO,21851.03
2021-05-01,No oncológico (comparador),SIS,INSUMO,224478.44
2021-05-01,No oncológico (comparador),SIS,MEDICAMENTO,606219.9096
2021-05-01,No oncológico (comparador),SIS,PROCEDIMIENTO,567080.33
2021-05-01,Otro,FISSAL,INSUMO,71854.86
2021-05-01,Otro,FISSAL,MEDICAMENTO,48647.02
2021-05-01,Otro,FISSAL,PROCEDIMIENTO,95645.20999999999
2021-05-01,Otro,SIS,INSUMO,1387241.36
2021-05-01,Otro,SIS,MEDICAMENTO,2337201.1982
2021-05-01,Otro,SIS,PROCEDIMIENTO,2120068.77
2021-05-01,Próstata,FISSAL,INSUMO,56842.53
2021-05-01,Próstata,FISSAL,MEDICAMENTO,82040.22
2021-05-01,Próstata,FISSAL,PROCEDIMIENTO,117659.72
2021-05-01,Próstata,SIS,INSUMO,812.46
2021-05-01,Próstata,SIS,MEDICAMENTO,170.51
2021-05-01,Próstata,SIS,PROCEDIMIENTO,1765.82
2021-06-01,Colon,FISSAL,INSUMO,204694.81
2021-06-01,Colon,FISSAL,MEDICAMENTO,56396.13
2021-06-01,Colon,FISSAL,PROCEDIMIENTO,147310.27
